name,id
tcl,303
tcl8,303
terminus-font,374636
texinfo,4958
tflint,374637
tini,374638
tk,302
tmux,1274
toybox,374630
tpm2-tools,12841
tpm2-tss,374609
tree-sitter,389688
typst,389691
unixodbc,1275
usbmuxd,1276
util-linux,8179
util-macros,374806
utmps,369396
uutils,389740
uv,389693
valgrind,1277
vim,487
vulkan-headers,374610
vulkan-loader,374611
wayland,389692
wayland-protocols,374639
wget,404
xcb-proto,13646
xmlto,374641
xorgproto,17190
xorriso,1279
xtrans,374640
xxhash,2163
xz,1286
yaml,374631
yarn,2430
yq,374612
zbar,2800
zeromq,2801
zip,2802
zlib,88
